Item,Year,Spending
Miscellaneous,2016,959.0
Cash contributions,2016,2081.0
Personal insurance and pensions,2016,6831.0
Average Annual Expenditures,2017,60060.0
Food,2017,7729.0
Alcoholic beverages,2017,558.0
Housing,2017,19884.0
Apparel and services,2017,1833.0
Transportation,2017,9576.0
Healthcare,2017,4928.0
Entertainment,2017,3203.0
Personal care products and services,2017,762.0
Reading,2017,110.0
Education,2017,1491.0
Tobacco products and smoking supplies,2017,332.0
Miscellaneous,2017,1010.0
Cash contributions,2017,1873.0
Personal insurance and pensions,2017,6771.0
Average Annual Expenditures,2018,61224.0
Food,2018,7923.0
Alcoholic beverages,2018,583.0
Housing,2018,20091.0
Apparel and services,2018,1866.0
Transportation,2018,9761.0
Healthcare,2018,4968.0
Entertainment,2018,3226.0
Personal care products and services,2018,768.0
Reading,2018,108.0
Education,2018,1407.0
Tobacco products and smoking supplies,2018,347.0
Miscellaneous,2018,993.0
Cash contributions,2018,1888.0
Personal insurance and pensions,2018,7296.0
Average Annual Expenditures,2019,63036.0
Food,2019,8169.0
Alcoholic beverages,2019,579.0
Housing,2019,20679.0
Apparel and services,2019,1883.0
Transportation,2019,10742.0
Healthcare,2019,5193.0
Entertainment,2019,3090.0
Personal care products and services,2019,786.0
Reading,2019,92.0
Education,2019,1443.0
Tobacco products and smoking supplies,2019,320.0
Miscellaneous,2019,899.0
Cash contributions,2019,1995.0
Personal insurance and pensions,2019,7165.0
Average Annual Expenditures,2020,61334.0
Food,2020,7316.0
Alcoholic beverages,2020,478.0
Housing,2020,21409.0
Apparel and services,2020,1434.0
Transportation,2020,9826.0
Healthcare,2020,5177.0
Entertainment,2020,2912.0
Personal care products and services,2020,646.0
Reading,2020,114.0
Education,2020,1271.0
Tobacco products and smoking supplies,2020,315.0
Miscellaneous,2020,907.0
Cash contributions,2020,2283.0
Personal insurance and pensions,2020,7246.0
